,DataFrame,model,test_score,pca_comps
1,pca_default,RandomForestClassifier,0.9824561403508771,2
7,pca_default,GradientBoostingClassifier,0.9824561403508771,2
20,pca_default,KNeighborsClassifier,0.9824561403508771,3
64,pca_default,LogisticRegression,0.9824561403508771,5
27,pca_default,GradientBoostingClassifier,0.9824561403508771,3
9,pca_default,LinearSVC,0.9824561403508771,2
21,pca_default,RandomForestClassifier,0.9824561403508771,3
49,pca_default,LinearSVC,0.9736842105263158,4
8,pca_default,XGBClassifier,0.9736842105263158,2
74,pca_processed,LogisticRegression,0.9736842105263158,5
22,pca_default,SVC,0.9736842105263158,3
69,pca_default,LinearSVC,0.9736842105263158,5
28,pca_default,XGBClassifier,0.9736842105263158,3
24,pca_default,LogisticRegression,0.9736842105263158,3
3,pca_default,DecisionTreeClassifier,0.9736842105263158,2
62,pca_default,SVC,0.9736842105263158,5
39,pca_processed,LinearSVC,0.9736842105263158,3
29,pca_default,LinearSVC,0.9736842105263158,3
47,pca_default,GradientBoostingClassifier,0.9649122807017544,4
34,pca_processed,LogisticRegression,0.9649122807017544,3
26,pca_default,AdaBoostClassifier,0.9649122807017544,3
44,pca_default,LogisticRegression,0.9649122807017544,4
0,pca_default,KNeighborsClassifier,0.9649122807017544,2
67,pca_default,GradientBoostingClassifier,0.9649122807017544,5
6,pca_default,AdaBoostClassifier,0.9649122807017544,2
76,pca_processed,AdaBoostClassifier,0.9649122807017544,5
4,pca_default,LogisticRegression,0.9649122807017544,2
60,pca_default,KNeighborsClassifier,0.9649122807017544,5
59,pca_processed,LinearSVC,0.956140350877193,4
65,pca_default,GaussianNB,0.956140350877193,5
54,pca_processed,LogisticRegression,0.956140350877193,4
66,pca_default,AdaBoostClassifier,0.956140350877193,5
68,pca_default,XGBClassifier,0.956140350877193,5
70,pca_processed,KNeighborsClassifier,0.956140350877193,5
52,pca_processed,SVC,0.956140350877193,4
45,pca_default,GaussianNB,0.956140350877193,4
78,pca_processed,XGBClassifier,0.956140350877193,5
42,pca_default,SVC,0.956140350877193,4
41,pca_default,RandomForestClassifier,0.956140350877193,4
40,pca_default,KNeighborsClassifier,0.956140350877193,4
79,pca_processed,LinearSVC,0.956140350877193,5
25,pca_default,GaussianNB,0.956140350877193,3
36,pca_processed,AdaBoostClassifier,0.956140350877193,3
2,pca_default,SVC,0.956140350877193,2
32,pca_processed,SVC,0.956140350877193,3
5,pca_default,GaussianNB,0.956140350877193,2
30,pca_processed,KNeighborsClassifier,0.956140350877193,3
58,pca_processed,XGBClassifier,0.9473684210526315,4
48,pca_default,XGBClassifier,0.9473684210526315,4
56,pca_processed,AdaBoostClassifier,0.9473684210526315,4
51,pca_processed,RandomForestClassifier,0.9473684210526315,4
72,pca_processed,SVC,0.9473684210526315,5
23,pca_default,DecisionTreeClassifier,0.9385964912280702,3
71,pca_processed,RandomForestClassifier,0.9385964912280702,5
50,pca_processed,KNeighborsClassifier,0.9385964912280702,4
61,pca_default,RandomForestClassifier,0.9385964912280702,5
46,pca_default,AdaBoostClassifier,0.9385964912280702,4
43,pca_default,DecisionTreeClassifier,0.9385964912280702,4
63,pca_default,DecisionTreeClassifier,0.9385964912280702,5
77,pca_processed,GradientBoostingClassifier,0.9298245614035088,5
75,pca_processed,GaussianNB,0.9210526315789473,5
38,pca_processed,XGBClassifier,0.9210526315789473,3
57,pca_processed,GradientBoostingClassifier,0.9210526315789473,4
31,pca_processed,RandomForestClassifier,0.9210526315789473,3
55,pca_processed,GaussianNB,0.9210526315789473,4
12,pca_processed,SVC,0.9122807017543859,2
35,pca_processed,GaussianNB,0.9122807017543859,3
19,pca_processed,LinearSVC,0.9122807017543859,2
14,pca_processed,LogisticRegression,0.9122807017543859,2
37,pca_processed,GradientBoostingClassifier,0.9035087719298246,3
16,pca_processed,AdaBoostClassifier,0.9035087719298246,2
17,pca_processed,GradientBoostingClassifier,0.8947368421052632,2
15,pca_processed,GaussianNB,0.8771929824561403,2
53,pca_processed,DecisionTreeClassifier,0.8771929824561403,4
33,pca_processed,DecisionTreeClassifier,0.868421052631579,3
18,pca_processed,XGBClassifier,0.868421052631579,2
73,pca_processed,DecisionTreeClassifier,0.8596491228070176,5
10,pca_processed,KNeighborsClassifier,0.8596491228070176,2
11,pca_processed,RandomForestClassifier,0.8421052631578947,2
13,pca_processed,DecisionTreeClassifier,0.7894736842105263,2
